2017-08-01 11:17:54 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2017-08-01 11:17:54 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2017-08-01 11:17:54 install libkmod2:amd64 <none> 22-1ubuntu4
2017-08-01 11:17:54 status half-installed libkmod2:amd64 22-1ubuntu4
2017-08-01 11:17:54 status unpacked libkmod2:amd64 22-1ubuntu4
2017-08-01 11:17:54 status unpacked libkmod2:amd64 22-1ubuntu4
2017-08-01 11:17:54 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
2017-08-01 11:17:54 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2017-08-01 11:17:54 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2017-08-01 11:17:54 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2017-08-01 11:17:54 install libmount1:amd64 <none> 2.27.1-6ubuntu3
2017-08-01 11:17:54 status half-installed libmount1:amd64 2.27.1-6ubuntu3
2017-08-01 11:17:54 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2017-08-01 11:17:54 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2017-08-01 11:17:54 install libncurses5:amd64 <none> 6.0+20160213-1ubuntu1
2017-08-01 11:17:54 status half-installed libncurses5:amd64 6.0+20160213-1ubuntu1
2017-08-01 11:17:54 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2017-08-01 11:17:54 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2017-08-01 11:17:54 install libncursesw5:amd64 <none> 6.0+20160213-1ubuntu1
2017-08-01 11:17:54 status half-installed libncursesw5:amd64 6.0+20160213-1ubuntu1
2017-08-01 11:17:54 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2017-08-01 11:17:54 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2017-08-01 11:17:54 install libpam-modules:amd64 <none> 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 status half-installed libpam-modules:amd64 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 install libpam-modules-bin:amd64 <none> 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 status half-installed libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 install libpam0g:amd64 <none> 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 status half-installed libpam0g:amd64 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2017-08-01 11:17:54 install libpcre3:amd64 <none> 2:8.38-3.1
2017-08-01 11:17:54 status half-installed libpcre3:amd64 2:8.38-3.1
