2018-05-08 06:32:26 status half-installed libfontembed1:amd64 1.8.3-2ubuntu3.1
2018-05-08 06:32:26 status half-installed libfontembed1:amd64 1.8.3-2ubuntu3.1
2018-05-08 06:32:26 status unpacked libfontembed1:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:26 status unpacked libfontembed1:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:26 upgrade cups-filters:amd64 1.8.3-2ubuntu3.1 1.8.3-2ubuntu3.4
2018-05-08 06:32:26 status half-configured cups-filters:amd64 1.8.3-2ubuntu3.1
2018-05-08 06:32:26 status unpacked cups-filters:amd64 1.8.3-2ubuntu3.1
2018-05-08 06:32:26 status half-installed cups-filters:amd64 1.8.3-2ubuntu3.1
2018-05-08 06:32:26 status triggers-pending cups:amd64 2.1.3-4ubuntu0.4
2018-05-08 06:32:26 status half-installed cups-filters:amd64 1.8.3-2ubuntu3.1
2018-05-08 06:32:26 status unpacked cups-filters:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:26 status unpacked cups-filters:amd64 1.8.3-2ubuntu3.4
2018-05-08 06:32:26 upgrade qpdf:amd64 6.0.0-2 8.0.2-3~16.04.1
2018-05-08 06:32:26 status half-configured qpdf:amd64 6.0.0-2
2018-05-08 06:32:26 status unpacked qpdf:amd64 6.0.0-2
2018-05-08 06:32:26 status half-installed qpdf:amd64 6.0.0-2
2018-05-08 06:32:26 status triggers-pending doc-base:all 0.10.7
2018-05-08 06:32:26 status half-installed qpdf:amd64 6.0.0-2
2018-05-08 06:32:26 status unpacked qpdf:amd64 8.0.2-3~16.04.1
2018-05-08 06:32:26 status unpacked qpdf:amd64 8.0.2-3~16.04.1
2018-05-08 06:32:26 trigproc systemd:amd64 229-4ubuntu21.1 <none>
2018-05-08 06:32:26 status half-configured systemd:amd64 229-4ubuntu21.1
2018-05-08 06:32:26 status installed systemd:amd64 229-4ubuntu21.1
2018-05-08 06:32:26 trigproc ureadahead:amd64 0.100.0-19 <none>
2018-05-08 06:32:26 status half-configured ureadahead:amd64 0.100.0-19
2018-05-08 06:32:26 status installed ureadahead:amd64 0.100.0-19
2018-05-08 06:32:26 trigproc man-db:amd64 2.7.5-1 <none>
2018-05-08 06:32:26 status half-configured man-db:amd64 2.7.5-1
2018-05-08 06:32:28 status installed man-db:amd64 2.7.5-1
2018-05-08 06:32:28 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-05-08 06:32:28 status half-configured libc-bin:amd64 2.23-0ubuntu10
